item,Utente 1,Utente 2,Utente 3,Utente 4,Utente 5,Utente 6,Utente 7,Utente 8,Utente 9,Utente 10,Utente 11,Utente 12,Utente 13,Utente 14,Utente 15,Utente 16,Utente 17,Utente 18
genere,Femmina,Maschio,Femmina,Maschio,Maschio,Maschio,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Maschio,Maschio,Maschio,Femmina,Femmina
eta,Meno di 25 Anni,Meno di 25 Anni,Tra i 25 e i 45 Anni,Meno di 25 Anni,Meno di 25 Anni,Tra i 25 e i 45 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Meno di 25 Anni,Più di 45 Anni,Più di 45 Anni,Più di 45 Anni,Più di 45 Anni
situazione lavorativa,Impiegato,Studente,Impiegato,Impiegato,Studente,Impiegato,Impiegato,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Impiegato,Altro,Disoccupato,Impiegato
familiarita delivery,3,3,2,1,2,2,3,2,3,3,2,1,2,2,1,1,1,1
fastidioso-piacevole,3,6,6,6,6,4,4,5,5,5,5,7,4,5,5,6,6,5
incomprensibile-comprensibile,3,6,6,6,6,7,3,6,6,5,5,7,6,6,5,6,6,5
creativo-privo di fantasia,3,2,2,1,2,5,5,4,4,4,3,1,3,4,3,6,2,3
facile da apprendere-difficile da apprendere,5,2,4,1,2,6,5,3,6,5,5,1,2,3,2,1,2,4
di grande valore-di poco valore,5,4,3,3,3,5,3,3,6,5,4,1,3,4,3,1,2,4
noioso-appassionante,4,6,5,5,6,4,3,4,4,4,4,6,4,4,4,6,5,4
non interessante-interessante,5,6,6,6,6,4,3,4,4,4,4,5,4,3,5,6,5,4
imprevedibile-prevedibile,2,7,6,6,5,6,4,6,6,6,5,7,6,5,5,2,5,5
veloce-lento,6,2,2,2,2,5,2,4,4,4,3,2,2,3,2,2,2,3
originale-convenzionale,3,1,5,1,2,4,5,6,4,3,4,1,3,4,5,2,2,3
ostruttivo-di supporto,3,6,6,6,4,6,5,5,5,4,5,6,5,5,5,6,5,5
buono-scarso,5,2,2,2,2,4,3,4,3,3,3,2,3,3,2,1,2,3
complicato-facile,2,7,6,6,6,6,3,5,6,5,6,4,6,6,6,6,6,4
repellente-attraente,5,6,5,7,5,4,5,5,4,4,5,6,4,4,5,6,5,5
usuale-moderno,5,6,6,7,5,5,4,4,5,5,5,7,5,3,5,6,5,5
sgradevole-gradevole,2,6,6,6,6,4,4,5,5,4,5,6,5,5,5,6,5,5
sicuro-insicuro,4,4,2,1,2,6,3,2,2,2,4,2,4,5,2,2,2,4
attivante-soporifero,3,2,2,2,2,4,5,4,4,4,3,2,4,4,3,2,2,4
conforme alle aspettative-non conforme alle aspettative,7,5,2,2,2,5,3,2,2,2,3,1,2,3,2,1,2,3
inefficiente-efficiente,3,6,6,6,6,6,5,6,5,5,5,4,6,6,5,7,6,5
chiaro-confuso,5,2,2,2,2,5,3,3,4,4,3,3,2,3,2,1,2,3
non pragmatico-pragmatico,3,5,6,6,4,4,5,4,4,4,4,3,5,5,5,6,5,4
ordinato-sovraccarico,6,3,2,2,2,5,3,4,4,4,5,1,4,3,3,2,2,5
invitante-non invitante,5,2,2,2,2,5,3,4,4,3,4,1,3,4,3,2,2,4
congeniale-ostile,5,3,2,2,2,5,3,3,3,3,5,2,3,3,2,1,2,3
conservativo-innovativo,7,6,6,7,6,4,5,4,4,4,4,7,5,4,5,6,6,5
NPS,6,9,9,9,9,7,6,9,8,8,8,8,5,8,7,9,9,7
